symboling,normalized-losses,wheel-base,length,width,height,curb-weight,engine-size,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,make_audi,make_bmw,make_chevrolet,make_dodge,make_honda,make_jaguar,make_mazda,make_mercedes-benz,make_mitsubishi,make_nissan,make_peugot,make_plymouth,make_porsche,make_saab,make_subaru,make_toyota,make_volkswagen,make_volvo,fuel-type_diesel,fuel-type_gas,aspiration_std,aspiration_turbo,num-of-doors_four,num-of-doors_two,body-style_convertible,body-style_hardtop,body-style_hatchback,body-style_sedan,body-style_wagon,drive-wheels_4wd,drive-wheels_fwd,drive-wheels_rwd,engine-location_front,engine-type_dohc,engine-type_l,engine-type_ohc,engine-type_ohcf,engine-type_ohcv,num-of-cylinders_eight,num-of-cylinders_five,num-of-cylinders_four,num-of-cylinders_six,num-of-cylinders_three,fuel-system_1bbl,fuel-system_2bbl,fuel-system_idi,fuel-system_mfi,fuel-system_mpfi,fuel-system_spdi
1,154,93.7,167.3,63.8,50.8,1989,90,2.97,3.23,9.4,68.0,5500,31,38,6692,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
1,154,93.7,167.3,63.8,50.8,2191,98,2.97,3.23,9.4,68.0,5500,31,38,7609,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
-1,74,103.3,174.6,64.6,59.8,2535,122,3.35,3.46,8.5,88.0,5000,24,30,8921,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
3,186,94.5,168.9,68.3,50.2,2778,151,3.94,3.11,9.5,143.0,5500,19,27,22018,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
3,150,99.1,186.6,66.5,56.1,2658,121,3.54,3.07,9.31,110.0,5250,21,28,11850,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
2,104,99.1,186.6,66.5,56.1,2695,121,3.54,3.07,9.3,110.0,5250,21,28,12170,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
3,150,99.1,186.6,66.5,56.1,2707,121,2.54,2.07,9.3,110.0,5250,21,28,15040,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
2,104,99.1,186.6,66.5,56.1,2758,121,3.54,3.07,9.3,110.0,5250,21,28,15510,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
3,150,99.1,186.6,66.5,56.1,2808,121,3.54,3.07,9.0,160.0,5500,19,26,18150,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2,104,99.1,186.6,66.5,56.1,2847,121,3.54,3.07,9.0,160.0,5500,19,26,18620,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2,83,93.7,156.9,63.4,53.7,2050,97,3.62,2.36,9.0,69.0,4900,31,36,5118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
2,83,93.7,157.9,63.6,53.7,2120,108,3.62,2.64,8.7,73.0,4400,26,31,7053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
2,83,93.3,157.3,63.8,55.7,2240,108,3.62,2.64,8.7,73.0,4400,26,31,7603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
0,102,97.2,172.0,65.4,52.5,2145,108,3.62,2.64,9.5,82.0,4800,32,37,7126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
0,102,97.2,172.0,65.4,52.5,2190,108,3.62,2.64,9.5,82.0,4400,28,33,7775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
0,102,97.2,172.0,65.4,52.5,2340,108,3.62,2.64,9.0,94.0,5200,26,32,9960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
0,102,97.0,172.0,65.4,54.3,2385,108,3.62,2.64,9.0,82.0,4800,24,25,9233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
0,102,97.0,172.0,65.4,54.3,2510,108,3.62,2.64,7.7,111.0,4800,24,29,11259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
0,89,97.0,173.5,65.4,53.0,2290,108,3.62,2.64,9.0,82.0,4800,28,32,7463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
0,89,97.0,173.5,65.4,53.0,2455,108,3.62,2.64,9.0,94.0,5200,25,31,10198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
0,85,96.9,173.6,65.4,54.9,2420,108,3.62,2.64,9.0,82.0,4800,23,29,8013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
0,85,96.9,173.6,65.4,54.9,2650,108,3.62,2.64,7.7,111.0,4800,23,23,11694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
1,87,95.7,158.7,63.6,54.5,1985,92,3.05,3.03,9.0,62.0,4800,35,39,5348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
1,87,95.7,158.7,63.6,54.5,2040,92,3.05,3.03,9.0,62.0,4800,31,38,6338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
1,74,95.7,158.7,63.6,54.5,2015,92,3.05,3.03,9.0,62.0,4800,31,38,6488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
0,77,95.7,169.7,63.6,59.1,2280,92,3.05,3.03,9.0,62.0,4800,31,37,6918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
0,81,95.7,169.7,63.6,59.1,2290,92,3.05,3.03,9.0,62.0,4800,27,32,7898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
0,91,95.7,169.7,63.6,59.1,3110,92,3.05,3.03,9.0,62.0,4800,27,32,8778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
0,91,95.7,166.3,64.4,53.0,2081,98,3.19,3.03,9.0,70.0,4800,30,37,6938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
0,91,95.7,166.3,64.4,52.8,2109,98,3.19,3.03,9.0,70.0,4800,30,37,7198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
0,91,95.7,166.3,64.4,53.0,2275,110,3.27,3.35,22.5,56.0,4500,34,36,7898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
0,91,95.7,166.3,64.4,52.8,2275,110,3.27,3.35,22.5,56.0,4500,38,47,7788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
0,91,95.7,166.3,64.4,53.0,2094,98,3.19,3.03,9.0,70.0,4800,38,47,7738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
0,91,95.7,166.3,64.4,52.8,2122,98,3.19,3.03,9.0,70.0,4800,28,34,8358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
0,91,95.7,166.3,64.4,52.8,2140,98,3.19,3.03,9.0,70.0,4800,28,34,9258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
1,168,94.5,168.7,64.0,52.6,2169,98,3.19,3.03,9.0,70.0,4800,29,34,8058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
1,168,94.5,168.7,64.0,52.6,2204,98,3.19,3.03,9.0,70.0,4800,29,34,8238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
1,168,94.5,168.7,64.0,52.6,2265,98,3.24,3.08,9.4,112.0,6600,26,29,9298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,168,94.5,168.7,64.0,52.6,2300,98,3.24,3.08,9.4,112.0,6600,26,29,9538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2,134,98.4,176.2,65.6,52.0,2540,146,3.62,3.5,9.3,116.0,4800,24,30,8449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
2,134,98.4,176.2,65.6,52.0,2536,146,3.62,3.5,9.3,116.0,4800,24,30,9639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
2,134,98.4,176.2,65.6,52.0,2551,146,3.62,3.5,9.3,116.0,4800,24,30,9989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
2,134,98.4,176.2,65.6,52.0,2679,146,3.62,3.5,9.3,116.0,4800,24,30,11199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
2,134,98.4,176.2,65.6,52.0,2714,146,3.62,3.5,9.3,116.0,4800,24,30,11549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
2,134,98.4,176.2,65.6,53.0,2975,146,3.62,3.5,9.3,116.0,4800,24,30,17669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
-1,65,102.4,175.6,66.5,54.9,2326,122,3.31,3.54,8.7,92.0,4200,29,34,8948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
-1,65,102.4,175.6,66.5,54.9,2480,110,3.27,3.35,22.5,73.0,4500,30,33,10698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
-1,65,102.4,175.6,66.5,53.9,2414,122,3.31,3.54,8.7,92.0,4200,27,32,9988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
-1,65,102.4,175.6,66.5,54.9,2414,122,3.31,3.54,8.7,92.0,4200,27,32,10898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
-1,65,102.4,175.6,66.5,53.9,2458,122,3.31,3.54,8.7,92.0,4200,27,32,11248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
3,197,102.9,183.5,67.7,52.0,2976,171,3.27,3.35,9.3,161.0,5200,20,24,16558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
3,197,102.9,183.5,67.7,52.0,3016,171,3.27,3.35,9.3,161.0,5200,19,24,15998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
-1,90,104.5,187.8,66.5,54.1,3131,171,3.27,3.35,9.2,156.0,5200,20,24,15690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
2,122,97.3,171.7,65.5,55.7,2261,97,3.01,3.4,23.0,52.0,4800,37,46,7775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
2,122,97.3,171.7,65.5,55.7,2209,109,3.19,3.4,9.0,85.0,5250,27,34,7975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
2,94,97.3,171.7,65.5,55.7,2264,97,3.01,3.4,23.0,52.0,4800,37,46,7995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
2,94,97.3,171.7,65.5,55.7,2212,109,3.19,3.4,9.0,85.0,5250,27,34,8195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
2,94,97.3,171.7,65.5,55.7,2275,109,3.19,3.4,9.0,85.0,5250,27,34,8495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
2,94,97.3,171.7,65.5,55.7,2319,97,3.01,3.4,23.0,68.0,4500,37,42,9495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
2,94,97.3,171.7,65.5,55.7,2300,109,3.19,3.4,10.0,100.0,5500,26,32,9995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
3,256,94.5,165.7,64.0,51.4,2221,109,3.19,3.4,8.5,90.0,5500,24,29,9980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
-2,103,104.3,188.8,67.2,56.2,2912,141,3.78,3.15,9.5,114.0,5400,23,28,12940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
-1,74,104.3,188.8,67.2,57.5,3034,141,3.78,3.15,9.5,114.0,5400,23,28,13415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
-2,103,104.3,188.8,67.2,56.2,2935,141,3.78,3.15,9.5,114.0,5400,24,28,15985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
-1,74,104.3,188.8,67.2,57.5,3042,141,3.78,3.15,9.5,114.0,5400,24,28,16515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
-2,103,104.3,188.8,67.2,56.2,3045,130,3.62,3.15,7.5,162.0,5100,17,22,18420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
-1,74,104.3,188.8,67.2,57.5,3157,130,3.62,3.15,7.5,162.0,5100,17,22,18950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
-1,95,109.1,188.8,68.9,55.5,2952,141,3.78,3.15,9.5,114.0,5400,23,28,16845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
-1,95,109.1,188.8,68.8,55.5,3049,141,3.78,3.15,8.7,160.0,5300,19,25,19045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
-1,95,109.1,188.8,68.9,55.5,3012,173,3.58,2.87,8.8,134.0,5500,18,23,21485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
-1,95,109.1,188.8,68.9,55.5,3217,145,3.01,3.4,23.0,106.0,4800,26,27,22470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
-1,95,109.1,188.8,68.9,55.5,3062,141,3.78,3.15,9.5,114.0,5400,19,25,22625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
